Prioritaet;Spanisch;Englisch;Deutsch;tema;theme;Thema;Caminos A1 (Klett) Units
3;Hace buen tiempo.;The weather is nice.;Das Wetter ist schoen.;;;Wetter;Unidad 11 B
3;Hace calor.;It is hot.;Es ist heiss.;;;Wetter;Unidad 11 B
1;Hace frio!.;It is cold.;Es ist kalt.;;;Wetter;Unidad 11 B
1;Hace viento.;It is windy.;Es ist windig.;;;Wetter;Unidad 11 B
1;Esta! nublado.;It is cloudy.;Es ist bewoelkt.;;;Wetter;Unidad 11 B
1;Esta! despejado.;It is cloudless.;Es ist heiter/wolkenlos.;;;Wetter;Unidad 11 B
2;Hay hielo.;It is frosty.;Es ist eisig (Strasse).;;;Wetter;Unidad 11 B
3;Hay chubascos.;It is changeable.;Es ist wechselhaft.;;;Wetter;Unidad 11 B
3;Hay niebla.;It is foggy.;Es ist neblig.;;;Wetter;Unidad 11 B
3;la niebla;fog;Nebel;;;Wetter;Unidad 11 B
3;Hay tormentas.;There is a thunderstorm.;Es gibt Gewitter.;;;Wetter;Unidad 11 B
3;el trueno;thunder (noun);Donner;;;Wetter;Unidad 11 B
3;tronar;thunder (verb);donnern;;;Wetter;Unidad 11 B
3;Llueve.;It is raining.;Es regnet.;;;Wetter;Unidad 11 B
3;la lluvia;rain;Regen;;;Wetter;Unidad 11 B
3;Nieva.;It is snowing.;Es schneit.;;;Wetter;Unidad 11 B
3;la nieve;snow;Schnee;;;Wetter;Unidad 11 B
3;Graniza.;It is hailing.;Es hagelt.;;;Wetter;Unidad 11 B
3;el granizo;hail;Hagel;;;Wetter;Unidad 11 B
3;la escarcha;frost;Reif;;;Wetter;Unidad 11 B
3;la salida del sol;sunrise;Sonnenaufgang;;;Wetter;Unidad 11 B
3;El sol sale.;The sun rises.;Die Sonne geht auf.;;;Wetter;Unidad 11 B
3;la puesta del sol;sunset;Sonnenuntergang;;;Wetter;Unidad 11 B
3;El sol se pone.;The sun goes down.;Die Sonne geht unter.;;;Wetter;Unidad 11 B
3;el prono!stico del tiempo;weather forecast;Wettervorhersage;;;Wetter;Unidad 11 B
3;la temperatura;temperature;Temperatur;;;Wetter;Unidad 11 B
3;el norte;north;Norden;;;Himmelsrichtung;
3;el este;east;Osten;;;Himmelsrichtung;
3;el sur;south;Sueden;;;Himmelsrichtung;
3;el oeste;west;Westen;;;Himmelsrichtung;
3;estupendo;excellent;ausgezeichnet;;;Adjektiv;
3;recoger;pick up;abholen;;;Verb;
3;supuesto;of course;selbstverstaendlich;;;;
3;subir;up;aufwaerts;;;;
3;el carpetero;carpenter;Schreiner;;;Beruf;
2;el servicio de guarderi!a;childcare;Kinderbetreuung;;;Einrichtung;
3;el mal de amores;lovesickness;Liebeskummer;;;Gefühl;
3;sentir;feel;fuehlen;;;Verb;
3;ni ni;neither nor;weder noch;;;Steigerung/Vergleich;
2;dejar;let/lend;lassen/leihen;;;Verb;
3;la sombra;shadow;Schatten;;;Natur;
3;el intento;attempt;Versuch;;;;
2;la nocturna;nightlife;Nachtleben;;;Freizeit;
3;aparcar;to park;parken;;;Verb;
3;sacar provecho de;take advantage;Vorteil ziehen;;;Verb;
3;la independencia;independence;Unabhaengigkeit;;;Wirtschaft;
2;comenzar;to begin;anfangen;;;Verb;
3;pedir;to order;bestellen;;;Verb;
3;lucir;glossy/wear;glaenzend/tragen;;;Adjektiv;
2;regresar;to return;zurueckkehren;;;Verb;
2;tratar de;to be about;handeln von;;;Verb;
2;filicidades por;congratulations;glueckwuenschen;;;Verb;
2;el juez;judge;Richter;;;Wirtschaft;
2;crecer;to grow;wachsen;;;Verb;
2;el monedero;purse;Geldbeutel;;;Wirtschaft;
2;prohibido;forbidden;verboten;;;Adjektiv;
2;el derecho;legal;Rechtswesen;;;Wirtschaft;
2;Estimado/a;Dear;Sehr geehrte/r;;;Brief;
2;lamentablemente;unfortunately;leider;;;Brief;
2;atentamente;sincerely;Mit freundlichen Gruessen;;;Brief;
2;el anexo;attachment;Anhang;;;Brief;
2;mandar;send;senden;;;Verb;
2;la confirmacio!n;confirmation;Bestaetigung;;;Wirtschaft;
2;adjuntar;add;hinzufuegen;;;Verb;
2;agradecer;thank;bedanken;;;Verb;
2;el folleto;flyer;Flyer;;;Sprache;
2;el montaje;assembly/deception;Zusammenbau/Taeuschung;;;Gefahr;
2;la detencio!n;imprisonment;Inhaftierung;;;Gefahr;
2;retirar/quitar;take away;wegnehmen;;;Verb;
2;anclar;anchor/chain;ankern/anketten;;;Verb;
2;la pricio!n;prison;Gefaengnis;;;Gefahr;
2;la victoria;victory;Sieg;;;Gefahr;
2;la derrota;defeat;Niederlage;;;Gefahr;
2;la policia;police;Polizei;;;Gebaeude;
2;pegar;beat/stick;schlagen/kleben;;;Verb;
2;empujar;bump;stossen;;;Verb;
2;encarcelar/detener;lock up;einsperren;;;Verb;
2;estar dispuesta a;to be ready;bereit sein zu;;;Verb;
2;la entrega;delivery;Lieferung;;;Wirtschaft;
2;la negociacio!n;negotiation;Verhandlung;;;Wirtschaft;
2;negociar;negotiate;verhandeln;;;Verb;
2;la razo!n;reason/motive;Grund/Motiv;;;;
2;el gobierno;government;Regierung;;;Laender;
2;quejar;complain;beschweren;;;Verb;
2;el rayo;lightning;Blitz;;;Wetter;Unidad 11 B
2;llevar;bring;bringen;;;Verb;
2;enconbrar;find;finden;;;Verb;
2;el miedo;anxiety;Angst;;;Gefahr;
2;participar;take part;teilnehmen;;;Verb;
2;rodear;film;filmen;;;Verb;
2;causar;trigger;ausloesen;;;Verb;
2;el pueblo;valley;Dorf;;;Laender;
2;el engan!o;illusion;Taeuschung;;;Gefahr;
2;engan!ar;deceive;taeuschen;;;Verb;
2;acutar;act;handeln;;;Verb;
2;insultar;offend;beleidigen;;;Verb;
2;las ima!genes;images;Bilder;;;Freizeit;
2;temer;to fear;fuerchten;;;Verb;
2;el oido;hate;Hass;;;Gefahr;
2;deber;should;sollen;;;Verb;
2;el estado;country;Staat;;;Laender;
2;abedecer;belong;gehoeren;;;Verb;
2;Lo peor es;The worst ist;Das Schlimmste ist;;;Gefahr;
2;volver;fly;fliegen;;;Verb;
0;Hola;;Hallo;;;absolute Basis;Unidad 1
;Que! tal?;;Wie geht es?;;;absolute Basis;Unidad 1
;Buenos di!as;;Guten Morgen;;;absolute Basis;Unidad 1
;Buenas tardes;;Guten Tag;;;absolute Basis;Unidad 1
;Buenas noches;;Guten Nacht;;;absolute Basis;Unidad 1
;Adio!s;;Auf Wiedersehen;;;absolute Basis;Unidad 1
;Hasta luego;;Bis spaeter;;;absolute Basis;Unidad 1
;Hasta pronto;;Bis gleich;;;absolute Basis;Unidad 1
;Hasta la vista;;Bis zum Wiedersehen;;;absolute Basis;Unidad 1
;Hasta la pro!xima;;Bis naechstes Mal;;;absolute Basis;Unidad 1
;Co!mo esta! usted?;;Wie geht es Ihnen?;;;absolute Basis;Unidad 1
;bien;;gut (adverb);;;absolute Basis;Unidad 1
;bueno;;gut (adjektiv);;;absolute Basis;Unidad 1
;regular;;maeßig;;;absolute Basis;Unidad 1
;asi! asi!;;So lala;;;absolute Basis;Unidad 1
;fatal;;schlecht;;;absolute Basis;Unidad 1
;llamarse;;heissen;;;absolute Basis;Unidad 1
;yo;;ich;;;absolute Basis;Unidad 1
;tu!;;du;;;absolute Basis;Unidad 1
;e!l;;er;;;absolute Basis;Unidad 1
;ella;;sie;;;absolute Basis;Unidad 1
;nosotros;;wir;;;absolute Basis;Unidad 1
;vosotros;;ihr;;;absolute Basis;Unidad 1
;ellos;;sie (mehrzahl);;;absolute Basis;Unidad 1
;usted;;er/sie hoeflich;;;absolute Basis;Unidad 1
;ustedes;;sie (mehrzahl) hoeflich;;;absolute Basis;Unidad 1
;soy;;ich bin;;;absolute Basis;Unidad 1
;eres;;du bist;;;absolute Basis;Unidad 1
;es;;er/sie ist;;;absolute Basis;Unidad 1
;somos;;wir sind;;;absolute Basis;Unidad 1
;sois;;ihr seit;;;absolute Basis;Unidad 1
;son;;sie sind;;;absolute Basis;Unidad 1
;Co!mo?;;Wie?;;;absolute Basis;Unidad 1
;Do!nde?;;Wo?;;;absolute Basis;Unidad 1
;Que!?;;Was?;;;absolute Basis;Unidad 1
;Por que!?;;Warum?;;;absolute Basis;Unidad 1
;Cual?;;Welcher?;;;absolute Basis;Unidad 1
;por favor;;bitte;;;absolute Basis;Unidad 1
;gracias;;danke;;;absolute Basis;Unidad 1
;la unidad;;Einheit, Lektion;;;Sprache;Unidad 1 A
;el gramo;;Grammatik;;;Sprache;Unidad 1 A
;el mundo del espan!ol;;die Welt des Spanischen;;;Laender;Unidad 1 A
;el espan!ol;;Spanisch (Sprache);;;Laender;Unidad 1 A
;la playa;;Strand;;;Natur;Unidad 1 A
;la ruina;;Ruinen;;;Gebaeude;Unidad 1 A
;el tango;;Tango;;;Sport;Unidad 1 A
;el museo;;Museum;;;Gebaeude;Unidad 1 A
;la palabra;;Wort;;;Sprache;Unidad 1 A
;internacional;;international;;;Laender;Unidad 1 A
;el fuego;;Feuer;;;Natur;Unidad 1 A
;en;;in;;;Praeposition;Unidad 1 A
;el turista;;Tourist;;;Wirtschaft;Unidad 1 A
;la globalizacio!n;;Globalisierung;;;Wirtschaft;Unidad 1 A
;de;;von;;;Praeposition;Unidad 1 A
;la economi!a;;Wirtschaft;;;Wirtschaft;Unidad 1 A
;un tema de debate;;Gespraechsthema;;;Sprache;Unidad 1 A
;ma!s;;mehr;;;Steigerung/Vergleich;Unidad 1 A
;el campo de golf;;Golfplatz;;;Sport;Unidad 1 A
;tema;;Thema;;;Sprache;Unidad 1 A
;la entrevista;;Gespraech;;;Sprache;Unidad 1 A
